town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Acton,2011,0,0,1,2,1,3
Arlington,2011,3,0,10,8,0,13
Ashland,2011,2,0,2,0,0,0
Bedford,2011,2,0,2,1,0,1
Bellingham,2011,1,0,1,2,0,3
Belmont,2011,2,0,7,5,0,7
Beverly,2011,14,0,15,14,0,14
Bolton,2011,1,0,2,0,0,1
Boston,2011,63,0,86,152,2,218
Boxborough,2011,0,0,0,0,0,0
Braintree,2011,1,0,1,1,0,2
Brookline,2011,19,0,30,20,0,33
Burlington,2011,1,0,2,2,1,3
Cambridge,2011,99,1,172,69,1,108
Canton,2011,2,0,2,1,0,1
Carlisle,2011,1,0,1,0,0,0
Chelsea,2011,8,0,10,40,1,55
Cohasset,2011,1,0,1,1,0,1
Concord,2011,7,0,8,4,0,6
Danvers,2011,1,0,2,8,0,12
Dedham,2011,3,0,6,2,0,2
Dover,2011,1,0,1,0,0,0
Essex,2011,0,0,0,0,0,0
Everett,2011,2,0,4,9,0,13
Foxborough,2011,0,0,0,0,0,0
Framingham,2011,8,0,12,34,2,42
Franklin,2011,1,0,1,6,0,5
Gloucester,2011,0,0,1,1,0,4
Hamilton,2011,2,0,2,1,0,1
Hingham,2011,2,0,3,4,0,5
Holbrook,2011,1,0,2,3,0,5
Holliston,2011,1,0,1,1,0,1
Hopkinton,2011,1,0,1,1,0,1
Hudson,2011,0,0,1,0,0,0
Hull,2011,0,0,1,5,0,3
Ipswich,2011,3,0,4,1,0,2
Lexington,2011,2,0,4,7,0,8
Lincoln,2011,0,0,1,0,0,0
Littleton,2011,0,0,0,1,0,1
Lynn,2011,14,0,30,48,0,74
Lynnfield,2011,0,0,0,0,0,0
Malden,2011,0,0,0,1,0,1
Manchester,2011,0,0,0,0,0,0
Marblehead,2011,8,0,10,3,0,4
Marlborough,2011,1,0,4,11,1,13
Marshfield,2011,4,0,5,3,0,3
Maynard,2011,0,0,0,0,0,1
Medfield,2011,1,0,1,0,0,0
Medford,2011,0,0,0,7,0,6
Medway,2011,0,0,0,0,0,0
Melrose,2011,5,0,6,4,0,7
Middleton,2011,0,0,0,0,0,0
Milford,2011,9,0,9,5,1,6
Millis,2011,0,1,1,0,0,0
Milton,2011,1,0,4,4,0,4
Nahant,2011,0,0,0,0,0,0
Natick,2011,6,0,7,5,0,5
Needham,2011,5,0,6,2,0,3
Newton,2011,28,0,37,36,0,43
Norfolk,2011,0,0,1,0,0,0
North Reading,2011,0,0,1,0,0,0
Norwell,2011,0,0,0,1,0,1
Norwood,2011,4,0,5,4,2,11
Peabody,2011,8,0,8,7,1,12
Quincy,2011,10,1,18,47,0,62
Randolph,2011,1,0,3,6,1,14
Reading,2011,1,0,1,2,0,2
Revere,2011,4,0,7,20,2,29
Rockland,2011,3,0,3,5,0,5
Rockport,2011,0,0,0,1,0,1
Salem,2011,10,0,13,20,1,30
Saugus,2011,1,0,2,6,1,7
Scituate,2011,0,0,1,0,0,1
Sharon,2011,1,0,1,1,0,1
Sherborn,2011,1,0,2,0,0,0
Somerville,2011,35,0,42,45,0,50
Southborough,2011,1,0,1,0,0,1
Stoneham,2011,1,0,1,4,0,4
Stow,2011,0,0,0,0,0,0
Sudbury,2011,3,0,3,1,0,2
Swampscott,2011,2,0,2,2,0,3
Topsfield,2011,0,0,1,1,0,1
Wakefield,2011,0,0,1,3,0,3
Walpole,2011,0,0,0,3,0,4
Waltham,2011,21,1,28,37,0,41
Watertown,2011,11,0,13,14,0,17
Wayland,2011,1,0,1,0,0,1
Wellesley,2011,6,0,10,6,0,7
Wenham,2011,1,0,1,1,0,1
Weston,2011,4,0,6,1,0,1
Westwood,2011,2,0,2,4,0,4
Weymouth,2011,4,0,5,33,2,38
Wilmington,2011,3,0,3,3,2,6
Winchester,2011,1,0,1,1,0,5
Winthrop,2011,1,0,1,2,0,3
Woburn,2011,7,0,10,6,0,11
Wrentham,2011,0,0,0,0,0,0
Total,2011,485,4,718,822,22,1123
Acton,2012,1,0,1,2,0,2
Arlington,2012,12,0,18,16,0,20
Ashland,2012,2,0,3,4,0,5
Bedford,2012,4,0,5,4,0,4
Bellingham,2012,2,0,3,1,0,1
Belmont,2012,3,0,7,5,0,7
Beverly,2012,9,0,11,9,0,12
Bolton,2012,2,0,2,0,0,0
Boston,2012,65,2,100,155,4,227
Boxborough,2012,0,0,0,1,0,1
Braintree,2012,0,0,1,1,0,5
Brookline,2012,18,0,28,17,0,28
Burlington,2012,1,0,2,7,0,7
Cambridge,2012,130,0,218,64,1,94
Canton,2012,1,1,3,3,1,5
Carlisle,2012,1,0,1,0,0,0
Chelsea,2012,7,0,9,31,0,36
Cohasset,2012,1,0,1,0,0,0
Concord,2012,10,0,13,7,0,8
Danvers,2012,1,0,4,3,1,5
Dedham,2012,4,0,4,4,0,8
Dover,2012,2,0,1,1,0,2
Essex,2012,0,0,0,0,0,0
Everett,2012,2,0,5,5,2,16
Foxborough,2012,3,0,3,0,0,2
Framingham,2012,7,0,7,9,2,13
Franklin,2012,0,0,0,3,0,4
Gloucester,2012,2,0,5,0,1,2
Hamilton,2012,2,0,2,0,0,0
Hingham,2012,2,0,4,2,0,4
Holbrook,2012,0,0,0,2,0,3
Holliston,2012,2,0,5,4,0,3
Hopkinton,2012,0,0,2,0,0,1
Hudson,2012,2,0,2,1,0,2
Hull,2012,0,0,0,1,0,1
Ipswich,2012,3,0,3,0,0,0
Lexington,2012,17,0,20,7,0,9
Lincoln,2012,1,0,2,1,0,1
Littleton,2012,1,0,1,0,0,0
Lynn,2012,21,0,31,54,5,92
Lynnfield,2012,2,0,2,1,0,1
Malden,2012,6,0,11,36,0,58
Manchester,2012,0,0,0,1,0,1
Marblehead,2012,3,0,6,1,0,2
Marlborough,2012,2,0,5,8,0,9
Marshfield,2012,2,0,2,4,0,5
Maynard,2012,1,0,2,0,0,1
Medfield,2012,0,0,1,2,0,2
Medford,2012,5,0,6,19,1,25
Medway,2012,2,0,2,1,0,1
Melrose,2012,4,0,5,7,0,7
Middleton,2012,1,0,1,0,0,0
Milford,2012,6,0,10,8,0,11
Millis,2012,0,0,0,1,0,1
Milton,2012,1,0,4,5,2,7
Nahant,2012,0,0,0,0,0,0
Natick,2012,11,0,10,12,0,11
Needham,2012,4,0,8,4,0,6
Newton,2012,39,0,47,46,2,54
Norfolk,2012,0,0,0,0,0,0
North Reading,2012,0,0,1,0,0,0
Norwell,2012,0,0,0,0,0,1
Norwood,2012,5,0,5,9,0,11
Peabody,2012,7,0,10,18,0,18
Quincy,2012,16,0,25,58,5,82
Randolph,2012,0,0,0,6,1,7
Reading,2012,3,0,3,6,0,8
Revere,2012,5,0,5,17,0,21
Rockland,2012,0,0,0,0,0,0
Rockport,2012,0,0,0,0,0,0
Salem,2012,18,1,23,32,2,40
Saugus,2012,3,0,3,8,0,8
Scituate,2012,1,0,1,1,0,2
Sharon,2012,1,0,1,0,0,0
Sherborn,2012,1,0,1,0,0,0
Somerville,2012,33,0,49,41,0,51
Southborough,2012,0,0,0,0,0,0
Stoneham,2012,0,0,0,3,0,3
Stow,2012,0,0,0,0,0,0
Sudbury,2012,3,0,3,2,0,2
Swampscott,2012,1,0,1,1,0,2
Topsfield,2012,1,0,1,0,0,0
Wakefield,2012,7,0,7,9,0,13
Walpole,2012,2,0,3,4,0,6
Waltham,2012,20,0,26,33,1,38
Watertown,2012,20,0,22,20,0,23
Wayland,2012,0,0,0,2,0,2
Wellesley,2012,3,1,5,6,0,7
Wenham,2012,1,0,2,0,0,0
Weston,2012,8,0,8,3,0,3
Westwood,2012,3,0,3,3,0,3
Weymouth,2012,6,0,9,19,1,24
Wilmington,2012,1,0,3,4,0,4
Winchester,2012,7,0,8,2,0,6
Winthrop,2012,1,0,1,2,0,2
Woburn,2012,8,0,13,10,1,18
Wrentham,2012,2,0,2,2,0,2
Total,2012,617,5,893,901,33,1239
Acton,2013,2,0,4,1,0,1
Arlington,2013,9,0,22,13,1,17
Ashland,2013,5,0,5,2,0,2
Bedford,2013,5,0,8,6,0,6
Bellingham,2013,1,0,1,6,0,8
Belmont,2013,5,0,10,5,0,6
Beverly,2013,5,0,6,10,0,11
Bolton,2013,2,0,2,1,0,1
Boston,2013,68,1,104,141,8,193
Boxborough,2013,0,0,0,0,0,0
Braintree,2013,3,0,3,15,0,16
Brookline,2013,18,0,30,5,1,13
